company_id,company_name,industry,funding_rounds,total_funding,last_funding_date,job_postings_30d,employee_growth_pct,hiring_roles,industry_growth_rate,regional_employment_trend,funding_per_employee,days_since_last_funding,growth_momentum,is_hot_lead
COMP_024008,Moreno and Sons,Retail,1.911532704,3795597.04,14-07-2021,10.99517729,-8.355216448,Operations,11.5,-0.2,-5930.620375,1317,45547164.48,0
COMP_007976,"Morales, Hubbard and Mcdonald",Healthcare,3.221004606,5792195.29,23-05-2020,5.052385433,20.6027175,Marketing,23.9,10.5,2106.252833,1734,34753171.74,0
COMP_021959,Strickland-Wright,Tech,3.975965715,191991,07-05-2020,5.00894481,0.456012638,Operations,20.5,-1.5,1371.364286,1750,959955,0
COMP_012658,Sanders Group,Fintech,2.842381587,890042.57,11-04-2023,9.882708546,1.202142039,Operations,23.2,13.9,4238.297952,681,8010383.13,0
COMP_011887,Davis Inc,Retail,2.264358781,3369725.77,27-03-2024,11.46147457,22.63312628,Marketing,9,8.6,1567.314312,330,40436709.24,1
COMP_024359,Underwood-Moore,Healthcare,4.875183911,2881335.43,17-09-2021,6.869437299,32.66797571,Marketing,21,1,752.3069008,1252,20169348.01,0
COMP_010563,"Mendez, Walker and Garcia",Fintech,0.900992386,7941005,03-03-2022,7.89201739,22.69896772,Marketing,14.5,-3.6,3214.981781,1085,63528040,0
COMP_007167,Dennis-Hicks,Fintech,1.170316442,1716573.56,16-03-2021,11.93109076,8.556497689,Engineering,29.4,-1.2,1928.734337,1437,24032029.84,0
COMP_014578,House and Sons,SaaS,3.33794819,178278.14,31-08-2024,7.100842516,30.05827276,Engineering,25.2,10.4,52.74501183,173,1426225.12,0
COMP_015475,"Neal, Fernandez and Montgomery",Tech,3.864426957,2266813.43,07-12-2024,9.54888178,-2.02268218,Engineering,14.4,9.2,-25186.81589,75,27201761.16,0
COMP_009494,Sloan and Sons,Fintech,3.134483427,2761687.49,07-04-2024,8.107786747,31.68676699,Sales,7.2,12.5,791.314467,319,22093499.92,0
COMP_003927,Hicks-Cox,Tech,2.992788405,1305887.46,15-05-2020,10.17555138,33.51079722,Engineering,23,1.4,327.2900902,1742,14364762.06,0
COMP_018622,"Ward, Guerrero and Williams",Retail,2.015898065,10044109.18,12-05-2024,14.48215285,7.127017518,Marketing,14.2,1.7,13759.05367,284,140617528.5,0
COMP_019346,Serrano-Bell,Fintech,3.227829558,4756102.92,01-10-2023,7.073893735,30.58951502,Engineering,27.6,-1.9,1596.007691,508,38048823.36,0
COMP_008604,Yates Group,SaaS,5.584658403,4808488.52,07-01-2022,7.602670891,13.8226804,Sales,13.1,-1,2914.235467,1140,43276396.68,0
COMP_012087,Smith Group,Retail,2.860019115,4799007.42,26-07-2023,9.344894259,23.71276231,Marketing,22.4,-2.9,1797.381056,575,43191066.78,0
COMP_004638,"Jones, Powell and Turner",Retail,2.909065227,4312393.19,17-01-2021,14.92777993,27.86568844,Sales,22.5,-4.9,1627.318185,1495,60373504.66,1
COMP_001578,Armstrong LLC,Fintech,5.107468976,5181058.75,26-12-2020,15.81807063,1.579056142,Operations,27.6,10,18503.78125,1517,72534822.5,0
COMP_005857,Berry Inc,Healthcare,5.227059388,1327427.37,04-06-2022,11.09686197,4.531328735,Engineering,21.2,10.8,2413.504309,992,14601701.07,0
COMP_013930,Miller-Ayala,Tech,0.998784172,805935.13,16-01-2024,11.20834222,-6.964377989,Operations,11.5,0.8,-1299.895371,401,8059351.3,0
COMP_012899,Wallace Group,Retail,3.06708835,8958057.42,18-12-2020,10.57548034,-9.354576345,Marketing,8.7,14.6,-10924.46027,1525,116454746.5,0
COMP_022272,"Walsh, Baker and Andrews",SaaS,5.037552966,1042722.02,19-01-2022,7.758334097,-4.66701701,Engineering,22.5,-2.9,-2266.787,1128,8341776.16,0
COMP_006138,Willis Ltd,Retail,4.646094056,7770933.08,12-09-2022,6.548583702,4.774656893,Engineering,28.1,11.6,15237.12369,892,54396531.56,0
COMP_016630,Edwards Inc,Healthcare,3.520820397,1555763.1,13-07-2021,8.658402554,-2.853585468,Engineering,7.7,-2.2,-8188.226842,1318,12446104.8,0
COMP_000716,Bowman Inc,Healthcare,1.827359645,3161033.54,02-08-2020,13.61440312,29.963227,Sales,29.1,8.5,1060.74951,1663,44254469.56,1
COMP_019681,Garza Group,SaaS,3.026559869,3016151.11,13-04-2022,9.225672557,7.694705737,Engineering,17.8,13.4,2669.160274,1044,27145359.99,0
COMP_007908,"Moses, Page and Mann",Fintech,2.165581789,8503908.06,30-09-2021,9.576173405,-8.548125736,Marketing,8.6,-4.6,-10498.65193,1239,68031264.48,0
COMP_018077,"Taylor, Haynes and Hernandez",Retail,2.262415046,3764480.82,15-07-2021,12.25181155,30.3703368,Engineering,24.5,3.3,1242.402911,1316,45173769.84,0
COMP_001399,"Hudson, Douglas and Donovan",Fintech,1.887287442,4599575.12,24-06-2024,6.96028574,43.45270988,Engineering,28.8,2.9,1006.47158,241,36796600.96,0
COMP_005413,Hays LLC,Healthcare,0.996099891,6887766.84,09-08-2022,8.107594185,-8.315911308,Operations,21.3,1.4,-10436.01036,926,55102134.72,0
COMP_022366,Ellis LLC,Retail,1.903206393,10013315.37,10-05-2024,7.077252755,18.12335686,Operations,8.1,10.1,5594.030933,286,70093207.59,0
COMP_009861,Hill PLC,Fintech,3.816587094,2417036.02,29-05-2021,8.339803648,5.801744369,Operations,16,7.4,3356.994472,1363,21753324.18,0
COMP_012778,"Winters, Carson and Meyer",Fintech,1.795902366,918185,04-11-2021,18.38564909,54.76353869,Sales,21.8,0.6,187.7678937,1204,14690960,0
